"title","content","date","variant","images","verified","author","rating","product","url"
"He comprado este producto 6 veces y las 煤ltimas 2 llego abierto y descompuesto","El producto lleg贸 bien las primeras 4 veces pero las 煤ltimas dos lleg贸 abierto, descompuesto y con gorgojos, con mal olor y disperso por todo el embalaje, intente devolver y no es elegible para devoluci贸n, lamentablemente no puedo recomendarlo.","05 May 2022","Size: 12 Count","","Yes","axel umanchuk","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"Birds never touched it.","Not even the doves who love millet.","05 May 2022","Size: 12 Count","","Yes","Kristi A. Jones","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"Most of the millet was not on the twigs","Nothing like carefully opening a package and then finding the seal is not sealed on th millet, and the millet is snow on your countertop, your floor, and who knows where else?  I was not happy, will not order again as I see Im not the only one experiencing this.  So adios.","05 May 2022","Size: 12 Count","","Yes","Sharon B","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"Great ","Birds love it","05 May 2022","Size: 12 Count","","Yes","Kathy Limon","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"Package was ripped open, covered in long hair! So gross!","Package was ripped open, obviously a previous return. Millet sprays were covered in long black hairs and dust bunnies. So gross","03 May 2022","Size: 6 Count","","Yes","Mary-Em Manley","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"Package was open in envelope bird seed was all over","Package was open and bird seed was everywhere","03 May 2022","Size: 12 Count","","Yes","Terrance E Wright","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"Almost $3.00 increase in 1 month","My April 2022 subscribe and save was $5.49 and now for June 2022 is $8.99.  Why the significant increase. Canceling my subscriptrion.  I have purchased this well over a year. My bird loves the treat. I will purchase elsewhere.","01 May 2022","Size: 12 Count","","Yes","busterdog1","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"Poor quality, open bag. Disappointed.","Very small seed. Looked very old. Used for escaped Budgie rescue. Didn't work.","01 May 2022","Size: 12 Count","https://m.media-amazon.com/images/I/716fgqcTYGL._SY88.jpg
https://m.media-amazon.com/images/I/7191JTdP5nL._SY88.jpg","Yes","Dennis Hunt","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"Love it","My bird loves it a lot.","30 Apr 2022","Size: 12 Count","","Yes","Susie F.","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"When I got the product most of the seeds fill off the stick.","Seeds was off the stick for the birds","29 Apr 2022","Size: 12 Count","","Yes","susie","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
"
"He comprado este producto 6 veces y las 煤ltimas 2 llego abierto y descompuesto","El producto lleg贸 bien las primeras 4 veces pero las 煤ltimas dos lleg贸 abierto, descompuesto y con gorgojos, con mal olor y disperso por todo el embalaje, intente devolver y no es elegible para devoluci贸n, lamentablemente no puedo recomendarlo.","05 May 2022","Size: 12 Count","","Yes","axel umanchuk","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"Birds never touched it.","Not even the doves who love millet.","05 May 2022","Size: 12 Count","","Yes","Kristi A. Jones","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"Most of the millet was not on the twigs","Nothing like carefully opening a package and then finding the seal is not sealed on th millet, and the millet is snow on your countertop, your floor, and who knows where else?  I was not happy, will not order again as I see Im not the only one experiencing this.  So adios.","05 May 2022","Size: 12 Count","","Yes","Sharon B","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"Great ","Birds love it","05 May 2022","Size: 12 Count","","Yes","Kathy Limon","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"Package was ripped open, covered in long hair! So gross!","Package was ripped open, obviously a previous return. Millet sprays were covered in long black hairs and dust bunnies. So gross","03 May 2022","Size: 6 Count","","Yes","Mary-Em Manley","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"Package was open in envelope bird seed was all over","Package was open and bird seed was everywhere","03 May 2022","Size: 12 Count","","Yes","Terrance E Wright","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"Almost $3.00 increase in 1 month","My April 2022 subscribe and save was $5.49 and now for June 2022 is $8.99.  Why the significant increase. Canceling my subscriptrion.  I have purchased this well over a year. My bird loves the treat. I will purchase elsewhere.","01 May 2022","Size: 12 Count","","Yes","busterdog1","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"Poor quality, open bag. Disappointed.","Very small seed. Looked very old. Used for escaped Budgie rescue. Didn't work.","01 May 2022","Size: 12 Count","https://m.media-amazon.com/images/I/716fgqcTYGL._SY88.jpg
https://m.media-amazon.com/images/I/7191JTdP5nL._SY88.jpg","Yes","Dennis Hunt","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"Love it","My bird loves it a lot.","30 Apr 2022","Size: 12 Count","","Yes","Susie F.","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"When I got the product most of the seeds fill off the stick.","Seeds was off the stick for the birds","29 Apr 2022","Size: 12 Count","","Yes","susie","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
"
"He comprado este producto 6 veces y las 煤ltimas 2 llego abierto y descompuesto","El producto lleg贸 bien las primeras 4 veces pero las 煤ltimas dos lleg贸 abierto, descompuesto y con gorgojos, con mal olor y disperso por todo el embalaje, intente devolver y no es elegible para devoluci贸n, lamentablemente no puedo recomendarlo.","05 May 2022","Size: 12 Count","","Yes","axel umanchuk","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"Birds never touched it.","Not even the doves who love millet.","05 May 2022","Size: 12 Count","","Yes","Kristi A. Jones","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"Most of the millet was not on the twigs","Nothing like carefully opening a package and then finding the seal is not sealed on th millet, and the millet is snow on your countertop, your floor, and who knows where else?  I was not happy, will not order again as I see Im not the only one experiencing this.  So adios.","05 May 2022","Size: 12 Count","","Yes","Sharon B","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"Great ","Birds love it","05 May 2022","Size: 12 Count","","Yes","Kathy Limon","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"Package was ripped open, covered in long hair! So gross!","Package was ripped open, obviously a previous return. Millet sprays were covered in long black hairs and dust bunnies. So gross","03 May 2022","Size: 6 Count","","Yes","Mary-Em Manley","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"Package was open in envelope bird seed was all over","Package was open and bird seed was everywhere","03 May 2022","Size: 12 Count","","Yes","Terrance E Wright","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"Almost $3.00 increase in 1 month","My April 2022 subscribe and save was $5.49 and now for June 2022 is $8.99.  Why the significant increase. Canceling my subscriptrion.  I have purchased this well over a year. My bird loves the treat. I will purchase elsewhere.","01 May 2022","Size: 12 Count","","Yes","busterdog1","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"Poor quality, open bag. Disappointed.","Very small seed. Looked very old. Used for escaped Budgie rescue. Didn't work.","01 May 2022","Size: 12 Count","https://m.media-amazon.com/images/I/716fgqcTYGL._SY88.jpg
https://m.media-amazon.com/images/I/7191JTdP5nL._SY88.jpg","Yes","Dennis Hunt","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"Love it","My bird loves it a lot.","30 Apr 2022","Size: 12 Count","","Yes","Susie F.","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"When I got the product most of the seeds fill off the stick.","Seeds was off the stick for the birds","29 Apr 2022","Size: 12 Count","","Yes","susie","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
"
"He comprado este producto 6 veces y las 煤ltimas 2 llego abierto y descompuesto","El producto lleg贸 bien las primeras 4 veces pero las 煤ltimas dos lleg贸 abierto, descompuesto y con gorgojos, con mal olor y disperso por todo el embalaje, intente devolver y no es elegible para devoluci贸n, lamentablemente no puedo recomendarlo.","05 May 2022","Size: 12 Count","","Yes","axel umanchuk","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"Birds never touched it.","Not even the doves who love millet.","05 May 2022","Size: 12 Count","","Yes","Kristi A. Jones","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"Most of the millet was not on the twigs","Nothing like carefully opening a package and then finding the seal is not sealed on th millet, and the millet is snow on your countertop, your floor, and who knows where else?  I was not happy, will not order again as I see Im not the only one experiencing this.  So adios.","05 May 2022","Size: 12 Count","","Yes","Sharon B","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"Great ","Birds love it","05 May 2022","Size: 12 Count","","Yes","Kathy Limon","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"Package was ripped open, covered in long hair! So gross!","Package was ripped open, obviously a previous return. Millet sprays were covered in long black hairs and dust bunnies. So gross","03 May 2022","Size: 6 Count","","Yes","Mary-Em Manley","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"Package was open in envelope bird seed was all over","Package was open and bird seed was everywhere","03 May 2022","Size: 12 Count","","Yes","Terrance E Wright","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"Almost $3.00 increase in 1 month","My April 2022 subscribe and save was $5.49 and now for June 2022 is $8.99.  Why the significant increase. Canceling my subscriptrion.  I have purchased this well over a year. My bird loves the treat. I will purchase elsewhere.","01 May 2022","Size: 12 Count","","Yes","busterdog1","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"Poor quality, open bag. Disappointed.","Very small seed. Looked very old. Used for escaped Budgie rescue. Didn't work.","01 May 2022","Size: 12 Count","https://m.media-amazon.com/images/I/716fgqcTYGL._SY88.jpg
https://m.media-amazon.com/images/I/7191JTdP5nL._SY88.jpg","Yes","Dennis Hunt","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"Love it","My bird loves it a lot.","30 Apr 2022","Size: 12 Count","","Yes","Susie F.","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"When I got the product most of the seeds fill off the stick.","Seeds was off the stick for the birds","29 Apr 2022","Size: 12 Count","","Yes","susie","2.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
"
"Helped our new budgie learn to trust us!","Our little parakeet loves this treat!  He was very traumatized when we got him, but with the help of this millet he soon learned to come right to us and eat out of the palm of our hands.  Weve had him a little over a month and now he trusts us and seems to feel very secure.  Our biggest problem is being disciplined in not allowing him to eat too much, as its so tempting when hes so dang cute!!  Highly recommend this product. It came very fresh and packaged well.","17 Feb 2022","Size: 12 Count","","Yes","Cynthia Griffith","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
"Color was gone","I always buy this time and I was wondering  why my bird didn't eat it cause it was dried out color was not looking fresh.","16 Feb 2022","Size: 12 Count","","Yes","Chevelle","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
"Birds won't touch it and usually love it.","I have been using this product for years.  The last order my birds won't eat it.  I smelled it and it smells like hay.  I usually use this for a treat.  They love millet but not this batch.","16 Feb 2022","Size: 12 Count","https://m.media-amazon.com/images/I/61SPaxdA49L._SY88.jpg","Yes","Happy Shopper","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
"My cockatiel loves it.","This is something I use as a treat for my bird. He knows what he's going to get if I ask him if he wants a treat. I always keep it on hand. I also use it as extra food if I need to be gone for a couple days. I know he won't run out of food.","15 Feb 2022","Size: 12 Count","","Yes","Danette Kulzer","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
"No good","Poor quality. The seed is very old and dried up. The sprays look old and not desirable for my rooster to eat.","15 Feb 2022","Size: 12 Count","","Yes","Tillie","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
"Awesome price","My parakeet loves this treat. Very good price & fast shipping. I have bought this item twice. Very pleased with seller.","15 Feb 2022","Size: 12 Count","","Yes","CountryGirl","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
"Haven't opened these yet.","Haven't had to open them yet I still have some in the one I have. I can rate these on experience my bird loves this stuff!!","14 Feb 2022","Size: 12 Count","","Yes","Wayne R.","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
"Bird Iikes it!","My parakeet is quite fond of these millet sprays.  They are a real treat for her","12 Feb 2022","Size: 12 Count","","Yes","Donkee","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
"Opened and totally deteriorated.","Cant offer this to my birds , came opened and deteriorated, smelling musty.","12 Feb 2022","Size: 12 Count","","Yes","Frederico Ramos","1.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
"Thanks","Thanks","11 Feb 2022","Size: 12 Count","","Yes","d Raun","5.0","Kaytee Spray Millet for Birds, 12 Count (Pack of 1)","https://www.amazon.com/Kaytee-Spray-Millet-12-Count-Packaging/product-reviews/B000VOE3QW/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10"
